s,0,-0.1,0.73,
j,1.1448,-0.482927,0.156332,2.02632,
j,1.14558,-0.48288,0.156237,2.02632,
j,1.14637,-0.482832,0.156141,2.02632,
j,1.14715,-0.482785,0.156046,2.02632,
j,1.14793,-0.482738,0.155951,2.02632,
j,1.14871,-0.482691,0.155855,2.02632,
j,1.1495,-0.482644,0.15576,2.02632,
j,1.15028,-0.482597,0.155664,2.02633,
j,1.15106,-0.48255,0.155569,2.02633,
j,1.15184,-0.482503,0.155474,2.02633,
j,1.15262,-0.482456,0.155378,2.02633,
j,1.15339,-0.48241,0.155283,2.02633,
j,1.15417,-0.482363,0.155187,2.02633,
j,1.15495,-0.482317,0.155092,2.02633,
j,1.15573,-0.48227,0.154996,2.02634,
j,1.1565,-0.482224,0.154901,2.02634,
j,1.15728,-0.482178,0.154805,2.02634,
j,1.15805,-0.482131,0.15471,2.02634,
j,1.15883,-0.482085,0.154614,2.02634,
j,1.1596,-0.482039,0.154519,2.02634,
j,1.16037,-0.481993,0.154423,2.02634,
j,1.16115,-0.481947,0.154328,2.02635,
