s,-0.1,-0.1,0.7,
j,1.18753,-0.420127,0.379079,1.99259,
j,1.18894,-0.420046,0.377409,1.99381,
j,1.19036,-0.419946,0.37586,1.9949,
j,1.19179,-0.419831,0.37442,1.99586,
j,1.19321,-0.419706,0.373081,1.99671,
j,1.19464,-0.419574,0.371832,1.99746,
j,1.19606,-0.419439,0.370665,1.99812,
j,1.19749,-0.419301,0.369573,1.99871,
j,1.19892,-0.419164,0.368549,1.99924,
j,1.20035,-0.419028,0.367586,1.9997,
j,1.20177,-0.418894,0.366679,2.00012,
j,1.2032,-0.418764,0.365822,2.00049,
j,1.20462,-0.418636,0.365011,2.00082,
j,1.20605,-0.418513,0.364241,2.00111,
j,1.20747,-0.41837,0.363818,2.00118,
j,1.20891,-0.41819,0.363938,2.00084,
j,1.21037,-0.417979,0.36438,2.00007,
j,1.21185,-0.417744,0.365022,1.99904,
j,1.21335,-0.417486,0.36588,1.99789,
j,1.21486,-0.417207,0.366844,1.99673,
j,1.21638,-0.416914,0.367795,1.99562,
j,1.2179,-0.416611,0.36868,1.9946,
j,1.21943,-0.416298,0.369482,1.99367,
j,1.22095,-0.415977,0.370196,1.99283,
j,1.22247,-0.41565,0.370823,1.99208,
j,1.22399,-0.415317,0.37137,1.99141,
j,1.22551,-0.414981,0.371842,1.99081,
j,1.22702,-0.414643,0.372245,1.99028,
j,1.22852,-0.414304,0.372585,1.98981,
j,1.23002,-0.413967,0.372867,1.98939,
j,1.23152,-0.413633,0.373096,1.98902,
j,1.23302,-0.413296,0.373384,1.98866,
j,1.23451,-0.412955,0.373736,1.98833,
j,1.23601,-0.412615,0.3741,1.98814,
j,1.23751,-0.41228,0.374481,1.98838,
j,1.23901,-0.411955,0.374766,1.98912,
j,1.2405,-0.411653,0.374718,1.99022,
j,1.24198,-0.411384,0.374291,1.99162,
j,1.24343,-0.411139,0.373648,1.99318,
j,1.24486,-0.410909,0.372925,1.99475,
j,1.24629,-0.410692,0.372185,1.99623,
j,1.2477,-0.410487,0.371455,1.9976,
j,1.24911,-0.410293,0.370747,1.99884,
j,1.25051,-0.410111,0.370064,1.99996,
