s,0.1,-0.2,0.7,
j,0.765141,-0.194584,0.208674,1.76681,
j,0.765311,-0.194579,0.208558,1.76681,
j,0.765481,-0.194574,0.208443,1.76681,
j,0.765651,-0.194569,0.208327,1.76681,
j,0.76582,-0.194564,0.208212,1.76682,
j,0.76599,-0.194559,0.208097,1.76682,
j,0.766159,-0.194554,0.207982,1.76682,
j,0.766329,-0.19455,0.207867,1.76682,
j,0.766498,-0.194545,0.207752,1.76682,
j,0.766667,-0.19454,0.207637,1.76682,
j,0.766836,-0.194535,0.207522,1.76682,
j,0.767005,-0.19453,0.207407,1.76683,
j,0.767173,-0.194525,0.207292,1.76683,
j,0.767342,-0.19452,0.207177,1.76683,
j,0.767511,-0.194515,0.207063,1.76683,
j,0.767679,-0.19451,0.206948,1.76683,
j,0.767847,-0.194505,0.206834,1.76683,
j,0.768016,-0.1945,0.206719,1.76683,
