s,0,0,0.7,
j,0.436268,-0.448321,-0.386709,1.58593,
j,0.434495,-0.448309,-0.386759,1.58768,
j,0.432716,-0.448279,-0.386802,1.58946,
j,0.430929,-0.448256,-0.386686,1.59159,
j,0.429146,-0.44823,-0.386399,1.59395,
j,0.427363,-0.448205,-0.38606,1.59653,
j,0.425582,-0.448183,-0.385719,1.59923,
j,0.423805,-0.448155,-0.385384,1.60186,
j,0.422032,-0.448116,-0.385056,1.60432,
j,0.420263,-0.448068,-0.384735,1.6066,
j,0.418495,-0.44801,-0.38442,1.60866,
j,0.416724,-0.447962,-0.384132,1.61076,
j,0.414951,-0.447927,-0.383871,1.61292,
j,0.413182,-0.447896,-0.38344,1.61505,
j,0.411424,-0.447858,-0.382828,1.61708,
j,0.409675,-0.447808,-0.382154,1.61897,
j,0.407934,-0.447746,-0.381473,1.62069,
j,0.406197,-0.447672,-0.380811,1.62225,
j,0.404464,-0.447588,-0.380179,1.62366,
j,0.402734,-0.447496,-0.37958,1.62494,
j,0.401007,-0.447397,-0.379013,1.62609,
j,0.399276,-0.447309,-0.378499,1.62735,
j,0.397541,-0.447252,-0.377872,1.62902,
j,0.395806,-0.447232,-0.377135,1.6312,
j,0.394077,-0.447237,-0.376389,1.63368,
j,0.392356,-0.447251,-0.375663,1.63618,
j,0.390643,-0.447267,-0.374969,1.63857,
j,0.38893,-0.447297,-0.374328,1.64102,
j,0.387219,-0.447344,-0.373743,1.64354,
j,0.385511,-0.447398,-0.373197,1.64597,
j,0.383807,-0.447453,-0.37268,1.64824,
j,0.382107,-0.447505,-0.372186,1.65033,
j,0.380407,-0.447553,-0.371895,1.6522,
j,0.378703,-0.4476,-0.371809,1.65386,
j,0.376994,-0.447646,-0.371801,1.65534,
j,0.375275,-0.447705,-0.372014,1.65687,
j,0.37354,-0.447799,-0.372451,1.6587,
j,0.371795,-0.447919,-0.372965,1.66074,
j,0.37004,-0.448064,-0.373679,1.66299,
j,0.368275,-0.44823,-0.374561,1.66537,
j,0.366502,-0.448416,-0.37548,1.66792,
j,0.364725,-0.448613,-0.376368,1.67058,
j,0.36295,-0.448802,-0.377183,1.67317,
j,0.361179,-0.44897,-0.377909,1.6756,
j,0.359411,-0.44911,-0.378546,1.67783,
j,0.357647,-0.449216,-0.379096,1.67986,
j,0.355886,-0.449284,-0.379567,1.68168,
j,0.354127,-0.449311,-0.379967,1.68331,
